股票代號,股票名稱,產業別,市場別,上市/掛牌日期,ISIN代碼,題材清單,題材總數
1301,台塑,塑膠工業,上市,1964/07/27,TW0001301000,AN、EVA、PE、PP、PVC、其他化工產品、化學工業、化纖原料、合成樹脂、塑化、塑化原料、石化、鹼業,13
1303,南亞,塑膠工業,上市,1967/11/05,TW0001303006,ABF載板、DOP、EG、IC載板、PA、丁二醇、化學工業、化學纖維、化纖原料、印刷電路板、印刷電路板相關、合成樹脂、塑化、塑化原料、塑化製品、塑膠加工、塑膠皮布、玻纖布、石化、聚酯棉、聚酯粒、聚酯絲、銅箔、銅箔基板、銅箔基板CCL,25
1304,台聚,塑膠工業,上市,1972/05/20,TW0001304004,ABS、EVA、PE、PS、塑化原料、石化,6
1305,華夏,塑膠工業,上市,1973/03/05,TW0001305001,PVC、塑化原料、塑化製品、塑膠加工、塑膠皮布、石化,6
1307,三芳,塑膠工業,上市,1985/11/23,TW0001307007,傳產其他、塑化原料、塑化製品、塑膠皮布、石化、鞋材,6
1308,亞聚,塑膠工業,上市,1986/06/20,TW0001308005,EVA、PE、塑化原料、石化,4
1309,台達化,塑膠工業,上市,1986/06/27,TW0001309003,ABS、PS、塑化原料、石化,4
1310,台苯,塑膠工業,上市,1987/08/06,TW0001310001,SM、塑化原料、玻璃基板、石化,4
1312,國喬,塑膠工業,上市,1988/12/21,TW0001312007,ABS、SM、塑化原料、石化,4
1313,聯成,塑膠工業,上市,1989/03/27,TW0001313005,DOP、PA、PVC、塑化原料、石化,5
1314,中石化,塑膠工業,上市,1991/07/12,TW0001314003,AN、CPL、化學纖維、化纖原料、塑化原料、尼龍粒、石化、資產股,8
1315,達新,塑膠工業,上市,1992/05/09,TW0001315000,塑化原料、塑化製品、塑膠加工、建材、成衣、成衣製造、石化、複合板、資產股、軍工國防,10
1316,上曜,建材營造業,上市,1992/10/15,TW0001316008,PU樹脂、不動產/建設、保健食品、化學工業、地產、水泥建材、營建、食品加工,8
1319,東陽,汽車工業,上市,1994/12/12,TW0001319002,汽機車零組件、汽車保險桿、汽車製造、汽車鈑金、車用冷卻系統、車用電子、電動車,7
1321,大洋,塑膠工業,上市,1999/01/26,TW0001321008,PVC、塑化原料、塑化製品、塑膠加工、塑膠皮布、石化、資產股,7
1323,永裕,塑膠工業,上市,2000/09/11,TW0001323004,塑化原料、塑化製品、塑膠加工、石化,4
1324,地球,塑膠工業,上市,2000/09/11,TW0001324002,化學工業、塑化原料、石化、膠帶,4
1325,恆大,塑膠工業,上市,2000/09/11,TW0001325009,不織布、塑化原料、工業紡織品、石化,4
1326,台化,塑膠工業,上市,1984/12/20,TW0001326007,ABS、PP、PS、PTA、SM、二甲基甲醯胺(DMF)、其他化工產品、化學工業、化學纖維、化纖原料、塑化、塑化原料、尼龍加工絲、尼龍粒、尼龍絲、石化、粘膠、芳香烴、酚,19
1337,再生-KY,塑膠工業,上市,2011/07/01,KYG0539R1039,EVA、塑化原料、塑化製品、塑膠加工、石化,5
1338,廣華-KY,汽車工業,上市,2012/12/19,KYG451001070,汽車內裝、汽車製造、車用電子、電動車,4
1339,昭輝,汽車工業,上市,2012/04/24,TW0001339000,塑化製品、塑膠加工、汽機車零組件、汽車保險桿、汽車製造、車用電子、電動車,7
1340,勝悅-KY,塑膠工業,上市,2013/12/06,KYG935971054,地產、塑化原料、旅宿／餐飲、物業投資發展、石化、飯店,6
1341,富林-KY,塑膠工業,上市,2018/12/24,KYG3730M1050,塑化原料、塑化製品、塑膠皮布、石化,4
1342,八貫,其他業,上市,2020/11/24,TW0001342004,塑化製品、塑膠皮布、多元業務,3
1402,遠東新,紡織纖維,上市,1967/04/14,TW0001402006,PTA、化學纖維、化纖原料、家居用品、寢具、成衣、成衣製造、成衣銷售／零售、控股公司、棉紡業、機能布料、紡紗、紡織纖維、織布業、聚酯加工絲、聚酯棉、聚酯粒、聚酯絲、資產股,19
1409,新纖,紡織纖維,上市,1973/08/31,TW0001409001,化學纖維、塑化製品、塑膠加工、機能布料、紡織纖維、聚酯粒、聚酯絲、資產股,8
1410,南染,紡織纖維,上市,1973/10/18,TW0001410009,IC封裝測試、地產、機能布料、物業投資發展、紡織纖維,5
1413,宏洲,紡織纖維,上市,1975/12/23,TW0001413003,化學纖維、機能布料、紡織纖維、聚酯粒、聚酯絲,5
1414,東和,紡織纖維,上市,1976/02/02,TW0001414001,地產、機能布料、混紡紗、物業投資發展、紡紗、紡織纖維、資產股,7
1416,廣豐,其他業,上市,1976/04/20,TW0001416006,多元業務、應用軟體、資產股、軟體業,4
1417,嘉裕,紡織纖維,上市,1976/12/28,TW0001417004,成衣、成衣製造、成衣銷售／零售、機能布料、紡織纖維,5
1418,東華,紡織纖維,上市,1977/02/14,TW0001418002,亞克力棉、化學纖維、機能布料、紡織纖維,4
1419,新紡,紡織纖維,上市,1977/03/14,TW0001419000,地產、成衣、成衣銷售／零售、機能布料、物業投資發展、紡織纖維、織布業、資產股,8
1423,利華,紡織纖維,上市,1979/04/02,TW0001423002,機能布料、毛紡、紡紗、紡織纖維、資產股,5
1432,大魯閣,運動休閒,上市,1982/07/26,TW0001432003,休閒娛樂、大型遊樂場、流通業、消費民生、百貨業、觀光餐飲,6
1434,福懋,紡織纖維,上市,1985/12/24,TW0001434009,其他公用事業、加油站、尼龍塔夫塔布、尼龍製品、工業紡織品、機能布料、紡織纖維,7
1435,中福,其他業,上市,1987/12/28,TW0001435006,地產、多元業務、物業投資發展、資產股,4
1436,華友聯,建材營造業,上市,1988/04/11,TW0001436004,不動產/建設、地產、水泥建材、營建,4
1437,勤益控,其他業,上市,1988/11/10,TW0001437002,地產、多元業務、控股公司、毛紡、物業投資發展、紡紗、資產股,7
1438,三地開發,建材營造業,上市,1988/12/15,TW0001438000,不動產/建設、地產、水泥建材、營建,4
1439,雋揚,建材營造業,上市,1989/05/22,TW0001439008,不動產/建設、地產、水泥建材、營建、物業投資發展、資產股,6
1440,南紡,紡織纖維,上市,1989/10/03,TW0001440006,化學纖維、化纖原料、棉紡業、機能布料、紡紗、紡織纖維、聚酯棉、聚酯粒、聚酯絲、資產股,10
1441,大東,紡織纖維,上市,1989/10/27,TW0001441004,棉紡業、機能布料、紡紗、紡織纖維、織布業、資產股,6
1442,名軒,建材營造業,上市,1989/11/16,TW0001442002,不動產/建設、地產、水泥建材、營建,4
1443,立益物流,其他業,上市,1990/04/21,TW0001443000,倉儲服務、多元業務、流通業、物流業、貿易、運輸事業,6
1444,力麗,紡織纖維,上市,1990/08/08,TW0001444008,化學纖維、機能布料、紡織纖維、聚酯加工絲、聚酯粒,5
1445,大宇,紡織纖維,上市,1991/02/05,TW0001445005,化學纖維、機能布料、紡織纖維、織布業、聚酯加工絲,5
1446,宏和,紡織纖維,上市,1991/10/15,TW0001446003,地產、機能布料、營建、紡織纖維、織布業、資產股,6
1447,力鵬,紡織纖維,上市,1992/01/28,TW0001447001,化學纖維、尼龍粒、機能布料、紡織纖維、織布業,5
1449,佳和,紡織纖維,上市,1992/03/12,TW0001449007,地產、機能布料、營建、紡織纖維、織布業,5
1451,年興,紡織纖維,上市,1992/12/21,TW0001451003,成衣、成衣製造、機能布料、紡織纖維、織布業,5
1452,宏益,紡織纖維,上市,1992/12/28,TW0001452001,化學纖維、機能布料、紡織纖維、聚酯加工絲,4
1453,大將,建材營造業,上市,1993/04/19,TW0001453009,不動產/建設、地產、水泥建材、營建、物業投資發展,5
1454,台富,紡織纖維,上市,1993/05/07,TW0001454007,化學纖維、機能布料、紡織纖維、織布業、聚酯加工絲,5
1455,集盛,紡織纖維,上市,1993/10/07,TW0001455004,化學纖維、尼龍加工絲、尼龍粒、尼龍絲、機能布料、紡織纖維,6
1456,怡華,建材營造業,上市,1993/12/09,TW0001456002,不動產/建設、地產、水泥建材、營建,4
1457,宜進,紡織纖維,上市,1994/10/20,TW0001457000,化學纖維、機能布料、紡織纖維、織布業、聚酯加工絲、聚酯絲、資產股,7
1459,聯發,紡織纖維,上市,1994/10/26,TW0001459006,化學纖維、機能布料、紡織纖維、聚酯加工絲,4
1460,宏遠,紡織纖維,上市,1995/04/28,TW0001460004,機能布料、紡織纖維、織布業,3
1463,強盛新,紡織纖維,上市,1996/12/05,TW0001463008,地產、染整、機能布料、營建、紡織纖維、織布業,6
1464,得力,紡織纖維,上市,1997/01/18,TW0001464006,機能布料、紡織纖維、織布業,3
1465,偉全,紡織纖維,上市,1997/09/08,TW0001465003,機能布料、紡織纖維、織布業,3
1466,聚隆,紡織纖維,上市,1998/04/04,TW0001466001,加工絲、化學纖維、尼龍加工絲、尼龍絲、機能布料、紡織纖維、聚酯加工絲,7
1467,南緯,紡織纖維,上市,1998/12/21,TW0001467009,成衣、成衣製造、機能布料、紡織纖維、織布業、資產股,6
1468,昶和,紡織纖維,上市,1999/01/21,TW0001468007,棉紡業、機能布料、紡紗、紡織纖維、織布業,5
1470,大統新創,紡織纖維,上市,1999/05/21,TW0001470003,染整、機能布料、紡織纖維、織布業,4
1471,首利,電子零組件業,上市,2000/03/06,TW0001471001,機殼、電子零件元件、電子零組件、電源供應器,4
1472,三洋實業,建材營造業,上市,2000/09/11,TW0001472009,不動產/建設、基礎建設、水泥建材、營造工程,4
1473,台南,紡織纖維,上市,2000/09/11,TW0001473007,成衣、成衣製造、機能布料、紡織纖維,4
1474,弘裕,紡織纖維,上市,2000/10/31,TW0001474005,工業紡織品、機能布料、紡織纖維、織布業,4
1475,業旺,紡織纖維,上市,2000/10/27,TW0001475002,化學工業、染料，顏料、機能布料、紡織纖維,4
1476,儒鴻,紡織纖維,上市,2001/04/18,TW0001476000,成衣、成衣製造、機能布料、紡織纖維、織布業,5
1477,聚陽,紡織纖維,上市,2003/01/21,TW0001477008,成衣、成衣製造、機能布料、紡織纖維,4
1503,士電,電機機械,上市,1969/12/15,TW0001503001,充電樁、工業自動化、引擎相關、智慧電網相關、機器人、汽機車零組件、設備儀器商、變電設備、資產股、車用充電相關、配電盤、重電設備、電力設備、電機、電機設備、電氣開關設備、電氣零件與設備,17
1504,東元,電機機械,上市,1973/11/05,TW0001504009,儲能系統ESS、冷氣機、家電、小家電、工業自動化、機器人、洗衣機、液晶電視、產業機械、自動化設備、變頻器、資產股、配電工程、重電設備、電冰箱、電力設備、電機、電機設備,18
1506,正道,電機機械,上市,1980/08/11,TW0001506004,傢俱、家居用品、工業自動化、引擎相關、懸吊系統、木床／車架、機器人、汽機車零組件、活塞、車用金屬成型、車用鍛件、轉向系統、電機設備,13
1512,瑞利,汽車工業,上市,1994/01/28,TW0001512002,汽機車零組件、汽車製造、汽車鈑金、車用電子、運動產業、運動用品、電動車,7
1513,中興電,電機機械,上市,1994/03/08,TW0001513000,停車場、儲能系統ESS、其他公用事業、工業自動化、智慧電網相關、機器人、產業機械、空調製冷、輸配電設備、配電工程、重電設備、電力設備、電機、電機設備、電氣開關設備,15
1514,亞力,電機機械,上市,1994/03/26,TW0001514008,儲能系統ESS、工業自動化、機器人、變電設備、配電工程、配電盤、重電設備、電力設備、電機、電機設備、電氣零件與設備,11
1515,力山,電機機械,上市,1995/02/04,TW0001515005,健身器材、工業自動化、手工具、木工機械、機器人、產業機械、運動產業、電機設備,8
1516,川飛,其他業,上市,1995/04/01,TW0001516003,多元業務、車用鋰電池、電子元件代理商、電子通路、電池,5
1517,利奇,電機機械,上市,1995/11/14,TW0001517001,工業自動化、機器人、產業機械、自行車零件、電機設備,5
1519,華城,電機機械,上市,1997/04/16,TW0001519007,儲能系統ESS、工業自動化、機器人、變電設備、配電盤、重電設備、離岸風電、電力設備、電機設備,9
1521,大億,汽車工業,上市,1997/10/06,TW0001521003,汽機車零組件、汽車製造、車燈、車用電子、電動車,5
1522,堤維西,汽車工業,上市,1997/10/06,TW0001522001,汽機車零組件、汽車製造、車燈、車用電子、電動車,5
1524,耿鼎,汽車工業,上市,1998/10/30,TW0001524007,汽機車零組件、汽車製造、汽車鈑金、車用電子、電動車,5
1525,江申,汽車工業,上市,1999/05/15,TW0001525004,懸吊系統、木床／車架、模具、機械零組件、汽機車零組件、汽車製造、汽車鈑金、車用電子、電動車,9
1526,日馳,電機機械,上市,2000/03/27,TW0001526002,工業自動化、機器人、產業機械、自行車零件、電機設備,5
1527,鑽全,電機機械,上市,2000/06/21,TW0001527000,工業自動化、機器人、產業機械、自行車零件、電動工具、電機設備,6
1528,恩德,電機機械,上市,2000/09/11,TW0001528008,印刷電路板相關、家居相關用品通路、工業自動化、木工機械、機器人、流通業、產業機械、雷射鑽孔機、鑽頭、電機設備,10
1529,樂事綠能,電機機械,上市,2000/09/11,TW0001529006,工業自動化、機器人、配電工程、配電盤、電力公共事業、電力設備、電機設備,7
1530,亞崴,電機機械,上市,2000/09/11,TW0001530004,工具機、工業自動化、機器人、電機設備、龍門機,5
1531,高林股,電機機械,上市,2000/09/11,TW0001531002,工業用縫紉機、工業自動化、機器人、產業機械、電機設備,5
1532,勤美,電機機械,上市,2000/09/11,TW0001532000,傳動系統、剎車系統、地產、工業自動化、引擎相關、機器人、機械零組件、汽機車零組件、營建、資產股、車用金屬成型、車用鑄件、電機設備,13
1533,車王電,汽車工業,上市,2001/04/06,TW0001533008,倒車影像系統、客貨車輛相關、手工具、汽車製造、產業機械、胎壓監測系統、行車紀錄器、車用電子、車輛整車、電動車,10
1535,中宇,電機機械,上市,2001/09/17,TW0001535003,其他營造工程、工業自動化、工程顧問、機器人、水資源、污水處理、營造工程、環保工程、配電工程、電力設備、電機設備,11
1536,和大,汽車工業,上市,2001/09/17,TW0001536001,傳動系統、機車零組件、汽機車零組件、汽車製造、特斯拉供應鏈、車用電子、電動車,7
1537,廣隆,電機機械,上市,2002/01/22,TW0001537009,工業用電池、工業自動化、機器人、鉛酸蓄電池、電機設備、電池,6
1538,正峰,電機機械,上市,2002/08/26,TW0001538007,工業自動化、機器人、汽機車零組件、產業機械、車燈、電動工具、電機設備,7
1539,巨庭,電機機械,上市,2002/10/29,TW0001539005,工業自動化、木工機械、機器人、產業機械、電機設備,5
1540,喬福,電機機械,上市,2002/08/26,TW0001540003,工具機、工業自動化、機器人、車床、電機設備、龍門機,6
1541,錩泰,電機機械,上市,2003/03/19,TW0001541001,工業自動化、木工機械、機器人、產業機械、電機設備,5
1558,伸興,電機機械,上市,2014/12/23,TW0001558005,傳產其他、家用縫紉機、工業自動化、機器人、產業機械、金屬加工／製品、電機設備,7
1560,中砂,電機機械,上市,2005/01/31,TW0001560001,CoWoS先進封裝、IC製造、封裝設備、工業自動化、晶圓製程設備、機器人、產業機械、矽晶圓、磨料磨具、電機設備,10
1563,巧新,汽車工業,上市,2024/05/13,TW0001563005,汽機車零組件、汽車製造、車用電子、輪圈、電動車,5
1568,倉佑,汽車工業,上市,2014/05/14,TW0001568004,傳動系統、汽機車零組件、汽車製造、車用電子、電動車,5
1582,信錦,電子零組件業,上市,2009/12/17,TW0001582005,樞紐、電子零件元件、電子零組件,3
1583,程泰,電機機械,上市,2008/01/24,TW0001583003,工具機、工具機主軸、工業自動化、機器人、磨床、車床、電機設備,7
1587,吉茂,汽車工業,上市,2018/04/16,TW0001587004,汽機車零組件、汽車製造、車用冷卻系統、車用電子、電動車,5
1589,永冠-KY,電機機械,上市,2012/04/27,KYG984291065,工業自動化、機器人、機械零組件、離岸風電、電機設備,5
1590,亞德客-KY,電機機械,上市,2010/12/13,KYG014081064,工業機器人、工業自動化、機器人、機械零組件、氣動元件、電機設備,6
1597,直得,電機機械,上市,2020/12/23,TW0001597003,工業自動化、機器人、機械零組件、滑軌、電機設備,5
1598,岱宇,運動休閒,上市,2016/09/20,TW0001598001,健身器材、消費民生、觀光餐飲、運動產業,4
1603,華電,電器電纜,上市,1968/06/03,TW0001603009,建材、金屬建材、電力電纜、電源供應、電線電纜、電纜材料,6
1604,聲寶,電器電纜,上市,1970/12/14,TW0001604007,冷氣機、家電、小家電、液晶電視、物流業、資產股、運輸事業、電冰箱、電源供應、電纜材料、顯示器,11
1605,華新,電器電纜,上市,1972/11/03,TW0001605004,不鏽鋼、電力電纜、電源供應、電線電纜、電纜材料,5
1608,華榮,電器電纜,上市,1988/07/11,TW0001608008,裸銅線、銅、電力電纜、電源供應、電線電纜、電纜材料、非鐵金屬,7
1609,大亞,電器電纜,上市,1988/12/12,TW0001609006,漆包線、裸銅線、電力電纜、電源供應、電線電纜、電纜材料,6
1611,中電,電器電纜,上市,1990/01/16,TW0001611002,LED、LED照明產品、家電、照明、電源供應、電纜材料,6
1612,宏泰,電器電纜,上市,1993/05/08,TW0001612000,電力電纜、電源供應、電線電纜、電纜材料,4
1614,三洋電,電器電纜,上市,1997/09/18,TW0001614006,冷氣機、家電、小家電、洗衣機、液晶電視、資產股、電冰箱、電源供應、電纜材料,9
1615,大山,電器電纜,上市,2000/03/30,TW0001615003,電力電纜、電源供應、電線電纜、電纜材料,4
1616,億泰,電器電纜,上市,2000/09/11,TW0001616001,電力電纜、電源供應、電線電纜、電纜材料,4
1617,榮星,電器電纜,上市,2000/09/11,TW0001617009,漆包線、電源供應、電線電纜、電纜材料,4
1618,合機,電器電纜,上市,2000/09/11,TW0001618007,電力電纜、電源供應、電線電纜、電纜材料,4
1623,大東電,電器電纜,上市,2026/01/22,TW0001623007,電力電纜、電源供應、電線電纜、電纜材料,4
1626,艾美特-KY,電器電纜,上市,2013/03/21,KYG0135T1076,家電、小家電、電源供應、電纜材料,4
1702,南僑,食品工業,上市,1973/05/30,TW0001702009,冷凍麵團、大宗物資、控股公司、油脂、消費民生、資產股、食品加工、食品農業、麵製品相關,9
1707,葡萄王,生技醫療業,上市,1982/12/20,TW0001707008,保健食品、生技醫療、生物科技、醫療器材、食品加工、食品生技,6
1708,東鹼,化學工業,上市,1986/06/16,TW0001708006,化學工業、化學產品通路、塑化原料、散裝航運、特用化學品、肥料、運輸事業、鹼業,8
1709,和益,化學工業,上市,1986/07/03,TW0001709004,化學工業、合成樹脂、塑化原料、烷基苯、特用化學品、酚,6
1710,東聯,化學工業,上市,1987/10/21,TW0001710002,EG、其他化工產品、化學工業、化纖原料、塑化原料、特用化學品,6
1711,永光,化學工業,上市,1988/12/27,TW0001711000,光阻劑、其他化工產品、化學工業、半導體化學品、半導體特用化學品、塑化原料、染料，顏料、特用化學品,8
1712,興農,化學工業,上市,1989/12/14,TW0001712008,化學工業、塑化原料、流通業、特用化學品、農藥、連鎖超市,6
1713,國化,化學工業,上市,1990/01/31,TW0001713006,保險粉、其他化工產品、化學工業、塑化原料、特用化學品,5
1714,和桐,化學工業,上市,1991/08/30,TW0001714004,其他化工產品、化學工業、塑化原料、正烷屬烴、烷基苯、特用化學品,6
1717,長興,化學工業,上市,1994/03/31,TW0001717007,化學工業、半導體化學品、合成樹脂、塑化原料、特用化學品,5
1718,中纖,化學工業,上市,1963/12/02,TW0001718005,EG、其他化工產品、化學工業、化學纖維、化纖原料、塑化原料、特用化學品、聚酯加工絲、聚酯絲,9
1720,生達,生技醫療業,上市,1995/12/12,TW0001720001,學名藥、生技醫療、生物科技、西藥製劑、醫療器材、醫藥產業、食品生技,7
1721,三晃,化學工業,上市,1996/05/16,TW0001721009,PU樹脂、其他化工產品、化學工業、塑化原料、特用化學品,5
1722,台肥,化學工業,上市,1998/03/24,TW0001722007,其他化工產品、化學工業、地產、塑化原料、營建、特用化學品、肥料、資產股,8
1723,中碳,化學工業,上市,1998/11/27,TW0001723005,化學工業、塑化原料、煤化工、特用化學品,4
1725,元禎,化學工業,上市,2000/09/11,TW0001725000,化學工業、化學產品通路、塑化原料、油品儲運／分銷、特用化學品、石油及天然氣,6
1726,永記,化學工業,上市,2000/09/11,TW0001726008,化學工業、塑化原料、塗料、特用化學品,4
1727,中華化,化學工業,上市,2000/09/11,TW0001727006,其他化工產品、化學工業、半導體化學品、塑化原料、強酸產品、染料，顏料、特用化學品,7
1730,花仙子,化學工業,上市,2001/09/17,TW0001730000,化學工業、塑化原料、特用化學品、衛生清潔用品,4
1731,美吾華,生技醫療業,上市,2001/09/17,TW0001731008,化學工業、生技醫療、衛生清潔用品、醫療器材、醫藥流通,5
1732,毛寶,化學工業,上市,2001/09/17,TW0001732006,化學工業、塑化原料、特用化學品、衛生清潔用品,4
1733,五鼎,生技醫療業,上市,2001/09/17,TW0001733004,檢驗試劑／紙、生技醫療、血糖儀、醫療器材、體外診斷用醫材,5
1734,杏輝,生技醫療業,上市,2002/08/26,TW0001734002,學名藥、生技醫療、生物科技、西藥製劑、醫療器材、醫藥產業、食品生技,7
1735,日勝化,化學工業,上市,2002/08/26,TW0001735009,PU樹脂、其他化工產品、化學工業、塑化原料、特用化學品,5
1736,喬山,運動休閒,上市,2003/01/09,TW0001736007,健身器材、消費民生、觀光餐飲、運動產業,4
1737,臺鹽,食品工業,上市,2003/11/18,TW0001737005,大宗物資、時尚產業、消費民生、生物科技、美妝保養品、製鹽業、非酒精飲料、食品生技、食品農業、飲料相關,10
1752,南光,生技醫療業,上市,2022/01/19,TW0001752004,學名藥、生技醫療、西藥製劑、醫療器材、醫藥產業,5
1760,寶齡富錦,生技醫療業,上市,2018/01/23,TW0001760007,學名藥、專利藥、新藥研發、時尚產業、檢驗試劑／紙、生技醫療、生物科技、美妝保養品、西藥製劑、醫療器材、醫藥產業、食品生技、體外診斷用醫材,13
1762,中化生,生技醫療業,上市,2010/12/20,TW0001762003,原料藥、生技醫療、醫療器材、醫藥產業,4
1773,勝一,化學工業,上市,2009/02/27,TW0001773000,其他化工產品、化學工業、化學產品通路、塑化原料、溶劑、特用化學品,6
1776,展宇,化學工業,上市,2016/05/09,TW0001776003,PU樹脂、其他化工產品、化學工業、塑化原料、特用化學品,5
1783,和康生,生技醫療業,上市,2013/12/20,TW0001783009,時尚產業、生技醫療、美妝保養品、輔助與彌補用醫材、醫用植入材料、醫療器材,6
1786,科妍,生技醫療業,上市,2013/11/12,TW0001786002,生技醫療、輔助與彌補用醫材、醫用植入材料、醫療器材,4
1789,神隆,生技醫療業,上市,2011/09/29,TW0001789006,原料藥、生技醫療、西藥製劑、醫療器材、醫藥產業,5
1795,美時,生技醫療業,上市,2019/12/16,TW0001795003,學名藥、生技醫療、西藥製劑、醫療器材、醫藥產業,5
1802,台玻,玻璃陶瓷,上市,1973/07/20,TW0001802007,傳產其他、印刷電路板相關、建材、水泥建材、玻璃、玻璃基板、玻纖布、複合材料,8
1805,寶徠,建材營造業,上市,1989/10/20,TW0001805000,不動產/建設、地產、水泥建材、營建,4
1806,冠軍,玻璃陶瓷,上市,1992/09/29,TW0001806008,建材、水泥建材、玻璃基板、瓷磚,4
1808,潤隆,建材營造業,上市,1994/10/26,TW0001808004,不動產/建設、地產、水泥建材、營建,4
1809,中釉,玻璃陶瓷,上市,1996/04/30,TW0001809002,建材、水泥建材、玻璃基板、釉料,4
1810,和成,玻璃陶瓷,上市,1991/10/14,TW0001810000,家居用品、水泥建材、水龍頭、玻璃基板、衛浴設備,5
1817,凱撒衛,玻璃陶瓷,上市,2013/10/24,TW0001817005,家居用品、水泥建材、水龍頭、玻璃基板、衛浴設備,5
1903,士紙,造紙工業,上市,1963/12/09,TW0001903003,包材、地產、家庭用紙、旅宿／餐飲、物業投資發展、資產股、造紙、造紙業、飯店,9
1904,正隆,造紙工業,上市,1971/09/10,TW0001904001,包材、家庭用紙、工業用紙、文化用紙、造紙、造紙業,6
1905,華紙,造紙工業,上市,1975/02/07,TW0001905008,包材、文化用紙、特殊用紙、紙漿、造紙、造紙業,6
1906,寶隆,造紙工業,上市,1976/04/26,TW0001906006,包材、工業用紙、造紙、造紙業,4
1907,永豐餘,造紙工業,上市,1977/02/22,TW0001907004,包材、化學工業、家庭用紙、工業用紙、控股公司、文化用紙、紙漿、衛生清潔用品、造紙、造紙業,10
1909,榮成,造紙工業,上市,1985/11/19,TW0001909000,包材、工業用紙、造紙、造紙業,4
